名称,经纬度
鄯善站(东南进站口),"90.483526,43.098331"
胜金北站,"89.659106,43.017822"
若羌站(建设中),"88.226081,39.065872"
若羌站(建设中),"88.252016,39.003998"
红光站,"93.587938,42.778468"
鄯善站(东南出站口),"90.483698,43.09784"
二堡站,"93.008066,43.01229"
托克逊站,"88.267072,43.04654"
山口站,"94.125968,42.132759"
了墩站,"92.220387,43.144725"
下南泉站,"88.431982,44.155896"
甘泉堡站,"87.736671,44.113441"
玛纳斯湖站,"85.878087,45.91215"
福海站,"87.462681,47.122227"
七泉湖站,"89.468827,43.131769"
国光站,"87.390522,42.851643"
恰尔巴格站,"78.7513,40.081793"
西格尔站,"77.38185,39.81307"
恰阳河小火车站,"84.38192,41.233163"
和田站(南进站口),"79.907581,37.158544"
和田站(南1出站口),"79.906612,37.15849"
和田站(南2进站口),"79.907073,37.158749"
思甜站,"94.252924,41.949027"
疏勒站,"75.995186,39.382077"
莫嘎图站,"86.236721,42.402911"
新策大雅站,"84.981079,42.01916"
苏古尔站,"82.240718,44.200156"
轮台阳霞站,"84.537456,41.961576"
阔什站,"77.81581,37.72622"
梧桐槽子站,"88.68916,44.197098"
景峡站,"94.319537,41.870871"
五五新镇站,"84.818864,44.858813"
尼勒克站(南出站口),"82.049328,43.966902"
托洛拉克站,"76.921272,38.416157"
昆玉站,"79.277226,37.219442"
库林阿曼站,"87.224917,42.829865"
叶城站,"77.473455,37.89191"
魏家泉站,"87.82218,44.123305"
胜金台站,"89.643062,43.110155"
准东北站(建设中),"89.159304,44.790571"
望丘站,"89.676457,44.712349"
英吉沙站,"76.165577,38.967553"
阿勒泰站,"88.090818,47.719282"
墨玉站(北出站口),"79.732979,37.222649"
红山渠站,"88.489026,43.095922"
扎和萨拉站,"86.914912,42.83719"
四棵树站,"84.318056,44.408025"
富蕴站(建设中),"89.507794,46.935271"
克拉玛依站(西北进站口),"84.894689,45.528255"
英吉沙站(西南出站口),"76.163812,38.967401"
车峰站,"84.823473,45.098354"
马兰站,"87.380828,42.235266"
哈尔格站,"86.741352,42.926451"
玛纳斯站,"86.196433,44.249338"
英吉沙站(西南进站口),"76.163891,38.967286"
疏勒站(东出站口),"75.994817,39.382139"
疏勒站(东进站口),"75.994816,39.382351"
五五新镇站(西出站口),"84.817777,44.858932"
五五新镇站(西进站口),"84.817778,44.858879"
克拉玛依站(西北出站口),"84.895611,45.528764"
克孜勒站,"76.354802,38.738675"
乌鲁木齐站(北进站口),"87.530489,43.841776"
乌鲁木齐站(南进站口),"87.528403,43.839571"
乌鲁木齐站(北出站口),"87.531117,43.841237"
喀什站(西出站口),"76.049015,39.493225"
喀什站(西进站口),"76.049001,39.492578"
库尔勒站(西南进站口),"86.194881,41.747119"
库尔勒站(西南出站口),"86.194588,41.747365"
哈密南站(西北出站口),"93.456464,42.772215"
哈密南站(西北进站口),"93.456818,42.772298"
哈密南站(西北进站口),"93.456818,42.772298"
沭阳站,"118.764217,34.111696"
南京站,"118.797499,32.087104"
昆山南站,"120.950889,31.35314"
无锡站,"120.306376,31.588048"
苏州站,"120.610868,31.329679"
南京南站,"118.798128,31.968592"
徐州站,"117.207223,34.264963"
苏州园区站,"120.710574,31.341096"
苏州北站,"120.644301,31.421548"
镇江南站,"119.424392,32.152403"
昆山站,"120.957634,31.366179"
南通站,"120.860483,32.067868"
扬州站,"119.350911,32.38962"
连云港东站,"119.340859,34.717998"
徐州东站,"117.306049,34.267895"
无锡东站,"120.460108,31.596772"
苏州新区站,"120.525304,31.372096"
丹阳站,"119.592818,32.001768"
泰州站,"119.980546,32.528857"
常州北站,"119.955456,31.853482"
连云港站,"119.162619,34.609091"
丹阳北站,"119.670853,32.014739"
江阴站(建设中),"120.280128,31.860507"
镇江站,"119.432794,32.197714"
如皋站,"120.605584,32.383384"
淮安站,"119.033294,33.648539"
邳州站,"117.958999,34.317325"
东台站,"120.344019,32.873905"
海安站,"120.504421,32.54694"
惠山站,"120.20218,31.670507"
阳澄湖站,"120.861898,31.380434"
江都站,"119.578607,32.458652"
仙林站,"118.914673,32.122882"
六合站(南出站口),"118.845827,32.365422"
戚墅堰站,"120.067899,31.722989"
新沂站,"118.348914,34.380085"
花桥站,"121.046508,31.334987"
建湖站,"119.79343,33.505936"
阜宁站,"119.616967,33.594223"
常州站,"119.973259,31.785195"
丹徒站(装修中),"119.52083,32.115178"
姜堰站,"120.118868,32.534471"
前洲站,"120.238061,31.680259"
淮安东站,"119.188377,33.568467"
太仓南站(建设中),"121.15124,31.404491"
三铺站,"117.171603,34.129964"
碾庄站,"117.781152,34.294524"
沙塘站,"117.029816,34.298513"
句容西站,"118.980236,31.832857"
永宁镇站,"118.586302,32.139775"
沙塘站,"117.029816,34.298513"
句容西站,"118.980236,31.832857"
碾庄站,"117.781152,34.294524"
永宁镇站,"118.586302,32.139775"
正仪站,"120.865504,31.379741"
浦镇站,"118.696005,32.114254"
大湖站,"117.288129,34.246013"
南通西站(建设中),"120.76514,32.101138"
常熟站(建设中),"120.782193,31.696799"
张家港北站(建设中),"120.693353,31.885249"
昆山站(南进站口),"120.956895,31.365425"
苏州北站综合服务楼,"120.645832,31.41897"
连云港东站(出站口),"119.340915,34.717968"
陆家浜站,"121.051098,31.343302"
溧水站,"119.096444,31.679008"
宝华山站,"119.05555,32.14922"
紫金山东站,"118.906362,32.070367"
淮安东站(进站口),"119.188024,33.568802"
涟水站(进站口),"119.19729,33.776104"
昆山站(北出站口),"120.958277,31.366441"
涟水站,"119.197406,33.775978"
沛屯站,"116.889144,34.801599"
镇江站(北出站口),"119.43377,32.198822"
镇江站(北进站口),"119.432994,32.198735"
盐坨站,"119.22543,34.666754"
淮安站(南出站口),"119.032843,33.648782"
郑集站,"117.06044,34.424755"
浦口北站,"118.684233,32.190618"
丹阳站(西进站口),"119.591503,32.001787"
朱桥站,"119.274273,33.528646"
徐州东线路所,"117.29537,34.31193"
南通站(南进站口),"120.860309,32.067977"
高资站(暂停营业),"119.301258,32.172271"
窑场站,"117.239496,34.238515"
无锡新区站,"120.391924,31.498024"
湾集站,"117.030557,34.514223"
常州站(南进站口),"119.971887,31.784431"
江宁西站,"118.595463,31.823671"
贾汪站,"117.442361,34.431043"
淮安站(南进站口),"119.033233,33.648678"
镇江站(南进站口),"119.432738,32.196816"
如东站,"121.177249,32.445805"
常州站(北出站口),"119.973037,31.785926"
紫金山站,"118.897495,32.086041"
常州站(北进站口),"119.973623,31.785323"
溧阳站,"119.502484,31.385832"
首羡站,"116.469675,34.85415"
云台山站,"119.290152,34.689672"
常州站(南出站口),"119.971314,31.785236"
高邮北站(建设中),"119.456025,33.002164"
江浦站(西南进站口),"118.535315,32.014286"
后马庄站,"117.319195,34.21904"
赣榆站,"119.112043,34.878446"
杨集站,"119.479923,34.344659"
观音机场站,"117.563723,34.038552"
仙林站(东南进站口),"118.912745,32.122538"
大庙站,"117.369662,34.262678"
观音机场站(进站口),"117.563589,34.039037"
扬州南站(建设中),"119.527085,32.405037"
仙林站(东南出站口),"118.912559,32.122464"
睢宁站(进站口),"117.937031,33.952213"
新华站,"120.313637,31.909242"
丹阳北站(西南出站口),"119.670611,32.015256"
邳州东站(建设中),"118.01391,34.323964"
平东站(建设中),"120.774907,32.147466"
宝应站,"119.387684,33.215516"
富安站,"120.457612,32.697279"
瓦屋山站,"119.27335,31.557914"
如皋南站(建设中),"120.627392,32.344967"
东海县站候车室,"118.768004,34.517103"
扬州站(南进站口),"119.35113,32.389378"
苏州新区站(北出站口),"120.525385,31.371695"
新沂南站,"118.328821,34.328337"
连云港东站(东出站口),"119.340951,34.717862"
连云港站(东南进站口),"119.163465,34.609071"
董集站,"119.236692,34.430879"
江浦站(西南出站口),"118.535259,32.014291"
东海南站(建设中),"118.7689,34.515498"
海门站,"121.183012,31.926348"
新沂站(进站口),"118.348998,34.380574"
苏州新区站(北进站口),"120.525146,31.372018"
启东站,"121.645497,31.85599"
连云港站(东南出站口),"119.162942,34.608815"
灌云站(进站口),"119.308084,34.288197"
周宅子站,"117.229536,34.354555"
灌南站(进站口),"119.280225,34.098761"
江浦站(暂停营业),"118.535642,32.014781"
柳泉站,"117.330113,34.466148"
灌南站,"119.279759,34.098947"
墟沟站,"119.386774,34.741692"
宜兴站,"119.813956,31.311531"
溧水站(西南进站口),"119.095936,31.679292"
溧阳站(东北出站口),"119.503542,31.386452"
滨海港站,"119.859585,34.058318"
栟茶站,"120.880701,32.498872"
丹阳北站(西南进站口),"119.671546,32.014545"
瓦屋山站(出站口),"119.273538,31.55874"
泰州站(南2出站口),"119.979576,32.52898"
泰州站(进站口),"119.980479,32.528865"
邳州站(南进站口),"117.958476,34.316901"
江宁站,"118.898894,31.936032"
泰州站(南出站口),"119.9801,32.528868"
泰州站(南进站口),"119.980515,32.52894"
惠山站(东北进站口),"120.201182,31.669919"
邳州站(南出站口),"117.959199,34.316776"
江宁站(西南出站口),"118.898543,31.93658"
江宁站(西南进站口),"118.898848,31.936266"
盐城站(进站口),"120.185123,33.373826"
无锡站(D1口),"120.307143,31.588987"
常州北站(南出站口),"119.954096,31.854139"
江都站(南进站口),"119.57799,32.458461"
溧阳站(东北进站口),"119.502794,31.386572"
瓦屋山站(西南进站口),"119.274143,31.55875"
瓦屋山站(西南出站口),"119.27366,31.558716"
惠山站(东南出站口),"120.201933,31.669591"
建湖站(进站口),"119.793894,33.506174"
阜宁南站(进站口),"119.64398,33.572352"
东海县站,"118.768431,34.51682"
建湖站(出站口),"119.793597,33.506339"
无锡东站(东北进站口),"120.460276,31.597218"
南莫站,"120.275483,32.57105"
东台站(进站口),"120.343771,32.872814"
句容西站(东北出站口),"118.980006,31.832416"
常州北站(南进站口),"119.955567,31.85355"
江都站(南出站口),"119.578243,32.458438"
新沂站(南出站口),"118.348405,34.380533"
仪征站(南进站口),"119.150194,32.314358"
杨屯站,"117.156496,34.333475"
丹徒站(出站口),"119.52072,32.115349"
丹阳站(东出站口),"119.593941,32.001394"
扬州站(南出站口),"119.350443,32.38934"
句容西站(东北进站口),"118.979798,31.832752"
惠山站(西北进站口),"120.199501,31.670355"
镇江南站(南进站口),"119.423987,32.152284"
阜宁东站,"119.938807,33.798795"
无锡东站北落客平台,"120.459584,31.598084"
海安站(西进站口),"120.504142,32.547334"
泗洪站(西北出站口),"118.219391,33.607044"
丹阳站(西出站口),"119.591678,32.001516"
丹阳站(东进站口),"119.593632,32.001889"
沭阳站(东北进站口),"118.764252,34.111888"
无锡东站(南出站口),"120.459153,31.597339"
无锡东站(南进站口),"120.45988,31.596716"
常州北站(北进站口)(建设中),"119.955476,31.8543"
泗洪站(西北进站口),"118.219105,33.606602"
泗阳站(南出站口),"118.713619,33.754703"
泗阳站(南进站口),"118.714293,33.754558"
归仁站,"118.274627,33.675414"
宿迁站(进站口),"118.281695,33.874393"
昆山站(南出站口),"120.956318,31.365822"
东台站(出站口),"120.343585,32.872747"
戚墅堰站(西北进站口),"120.067651,31.722986"
丹徒站(西南出站口),"119.520186,32.114803"
宿迁站,"118.281874,33.87465"
无锡新区站(东进站口),"120.392405,31.49795"
戚墅堰站(东北出站口),"120.068072,31.722721"
崔寨站,"116.99681,34.57859"
镇江站(南出站口),"119.433253,32.196848"
盐城站,"120.185999,33.373852"
无锡东站(北进站口),"120.460377,31.597266"
如东站(西南出站口),"121.176976,32.446209"
如东站(西南进站口),"121.177374,32.446129"
洋河站,"118.367257,33.79088"
黄集站,"117.476514,34.273654"
宝华山站(南出站口),"119.055658,32.149224"
镇江大港站(建设中),"119.677789,32.132885"
南通站(出站口),"120.859429,32.068141"
连云站,"119.458378,34.732104"
白塔埠站,"118.937631,34.564113"
无锡东站-出站口34,"120.4589,31.59776"
灌云站,"119.308162,34.288184"
韩桥站,"117.43448,34.407721"
六合站(南进站口),"118.847409,32.365317"
无锡新区站(东出站口),"120.392298,31.49798"
沭阳站(西北出站口),"118.764558,34.111806"
高邮站(建设中),"119.505102,32.77392"
连云港东站(东进站口),"119.34086,34.717907"
海安站(出站口),"120.504569,32.546831"
溧水站(西南出站口),"119.095633,31.679657"
泗阳站,"118.714056,33.75431"
东海县站(北进站口),"118.768035,34.517056"
响水县站,"119.6885,34.191909"
阜宁南站,"119.644763,33.572653"
泗洪站,"118.218693,33.606904"
宝华山站(南进站口),"119.055734,32.149232"
睢宁站,"117.937048,33.952513"
宜兴站(南出站口),"119.813034,31.311955"
宜兴站(南进站口),"119.813519,31.311698"
射阳站,"120.019886,33.683"
镇江南站(西出站口),"119.423224,32.15274"
丰县站,"116.653458,34.724333"
太仓站(建设中),"121.196644,31.510124"
镇江南站(北进站口)(装修中),"119.424298,32.152861"
苏州站(1层北进站口),"120.610364,31.330653"
苏州站(北出站口),"120.610618,31.330676"
苏州站(南进站口),"120.611162,31.32818"
苏州园区站(2F售票处2出入口),"120.71022,31.341305"
南京南站(商务座VIP专用进站口),"118.799258,31.967347"
苏州北站(东出站口),"120.64399,31.421221"
无锡站(北1进出站口),"120.306762,31.589697"
无锡站(西南进站口),"120.305045,31.587131"
苏州站(北2进站口),"120.610642,31.330626"
南京站(西出站口),"118.795642,32.086742"
南京南站(出站口),"118.797493,31.97039"
北进站大厅(南京南站),"118.796949,31.969855"
南京站(北进站口),"118.79808,32.088284"
徐州站(西南出站口),"117.206289,34.265972"
昆山南站(东北进站口),"120.951059,31.353322"
南京南站(2F北出站口),"118.797289,31.97044"
南京站(1层软席进站口),"118.797321,32.085745"
南京站(南出口),"118.796851,32.086069"
昆山南站(南进站口),"120.950659,31.35254"
南京站(2层南进站口),"118.796804,32.086118"
无锡站(东出口),"120.30532,31.58634"
南京南站北2铁路出发,"118.797386,31.970304"
南京南站(2F铁路出发北1),"118.796775,31.970009"
南京南站(1F出入口北),"118.797108,31.970115"
南京站(南出站口),"118.795633,32.086724"
苏州园区站(2F北进出站口),"120.710581,31.341381"
南京南站(西7出站口),"118.798378,31.967876"
南京南站(西4出站口),"118.797761,31.9688"
南京南站(东出站口),"118.79901,31.968137"
南京南站(东6出站口),"118.798714,31.968692"
南京南站(东1出站口),"118.798089,31.969753"
南京南站(西5出站口),"118.79799,31.968466"
南京南站(西3出站口),"118.797706,31.968843"
南京南站(北进站口),"118.796921,31.970269"
苏州站(2层北进站口),"120.610547,31.330687"
徐州站(西南进站口),"117.206263,34.265356"
昆山南站(南出站口),"120.951289,31.352336"
苏州北站(北进站口),"120.643545,31.421987"
南京站(1层南进站口),"118.79665,32.086185"
南京站(东出站口),"118.796827,32.085704"
南京站(东北进站口),"118.797401,32.085517"
南京南站(西出站口),"118.797332,31.969388"
南京南站(南进站口),"118.799038,31.967359"
苏州园区站(北进站口),"120.710567,31.341312"
无锡站(C2出口),"120.305942,31.59075"
无锡站(南进站口),"120.305416,31.586884"
昆山南站(东北出站口),"120.951106,31.353459"
苏州北站(南出站口),"120.643912,31.421289"
苏州北站(南进站口),"120.642862,31.421299"
苏州园区站(出站厅),"120.710229,31.341155"
苏州园区站(北出站口),"120.711231,31.341452"
苏州站(南出站口),"120.610147,31.328506"
无锡站(北进站口),"120.307476,31.589233"
无锡站(北出站口),"120.307084,31.589516"
无锡站(B1出口),"120.307379,31.590901"
南京站-候车室,"118.796647,32.086297"
南京站-候车室,"118.796647,32.086297"
格尔木站,"94.907016,36.382567"
德令哈站,"97.384606,37.315446"
乌兰站,"98.468127,36.954089"
天峻站,"99.0208,37.227432"
大柴旦站,"95.34047,37.883827"
柯柯站,"98.255828,36.98438"
茶卡站,"99.085214,36.760408"
乐都站,"102.432909,36.477415"
格尔木南站(建设中),"94.870934,36.349162"
平安驿站,"102.108453,36.50436"
沱沱河站,"92.447676,34.2315"
鱼卡站,"94.964299,38.073591"
门源站,"101.528018,37.426828"
杏园站,"102.316875,36.488795"
鱼水河站,"94.958319,36.508005"
鸟岛站,"99.746051,37.179434"
扎麻隆车站,"101.458206,36.643695"
巴燕站,"101.136972,36.777693"
刚察站,"100.099718,37.244458"
黄草庄东站,"100.919707,36.85727"
哈尔盖站,"100.417169,37.183481"
饮马峡站,"95.874225,37.323933"
南山口站,"94.783816,36.18943"
西宁站,"101.814362,36.620233"
天棚站,"99.192538,37.192055"
民和南站(装修中),"102.850026,36.305827"
海晏站,"100.985478,36.871513"
锡铁山站,"95.633841,37.257147"
海东西站,"102.054508,36.509222"
湟源站,"101.240874,36.68441"
小柴旦站,"95.585449,37.591138"
马海站,"94.362003,38.391133"
大通西站,"101.673433,36.965898"
察尔汗站,"95.304932,36.809454"
乐都南站,"102.391403,36.467385"
码头站,"99.083186,36.731094"
达布逊站,"95.365282,36.921995"
申中站,"101.16713,36.74832"
黄草庄东站,"100.919707,36.85727"
中卫站,"105.190292,37.521774"
中宁站,"105.66891,37.556441"
中宁东站,"105.702567,37.449414"
七营站,"106.144557,36.501697"
沙坡头站,"105.004256,37.467067"
银川站,"106.173555,38.492098"
固原站,"106.305682,36.02125"
大武口车站,"106.39347,39.028022"
石嘴山站,"106.421613,38.916856"
黄羊滩站,"106.01923,38.259988"
西干站,"106.060032,38.323048"
营盘水站,"104.314194,37.445467"
银光站,"105.946643,38.070796"
惠农站,"106.727806,39.261862"
同心站,"105.925975,36.993862"
太阳山站,"106.568113,37.451571"
青铜峡站,"105.933202,37.918423"
宣和站,"105.441247,37.478995"
大磴沟站,"106.351128,39.19437"
中宁南站,"105.616788,37.335389"
二营站,"106.24798,36.18397"
灵武站,"106.365851,38.158223"
固原北站,"106.310227,36.059899"
大坝站,"105.934005,38.024208"
红寺堡站,"106.065032,37.44867"
玉泉营站,"105.963414,38.138438"
干塘站,"104.524576,37.455093"
六盘山站,"106.2925,35.706353"
枣园堡站,"105.77837,37.591774"
盐池站,"107.348832,37.734565"
长城南站,"106.6965,38.199899"
河东机场站,"106.386211,38.322027"
红柳站,"106.766149,37.854766"
暖泉站,"106.27415,38.740588"
沈家河站,"106.268274,36.121038"
红寺堡北站,"106.062669,37.600228"
白芨沟站,"106.141203,39.119083"
中卫南站办公区,"105.178243,37.472817"
大战场站,"105.546575,37.422163"
长农站,"105.701277,37.250256"
三营站,"106.148898,36.290684"
彭阳站,"106.287768,35.811579"
西邵站,"105.995624,38.206601"
渠口堡站,"105.840596,37.708806"
中卫南站,"105.179066,37.472486"
土桥子站,"106.02794,36.797116"
小坝站,"105.937461,37.955039"
马莲滩站,"106.38355,39.144503"
新市沟站,"105.716779,37.572423"
汝箕沟站,"106.117873,39.065925"
红寺堡北站售票厅(建设中),"106.062156,37.60041"
芦花台车站,"106.209083,38.614724"
枣窝站,"106.426846,39.082827"
长流水站,"104.862002,37.454684"
李旺站,"106.080011,36.700454"
永宁站(东北进站口),"106.242984,38.238258"
任家庄站,"106.469934,38.195188"
宁东站,"106.547107,38.146249"
平滩站,"105.832114,37.638079"
艾家村站,"105.776411,37.159155"
三关口站,"106.37538,35.678198"
灵武北站,"106.316709,38.13501"
永宁站(东北出站口),"106.242894,38.237966"
吴忠站,"106.249585,37.975823"
三关口站,"106.37538,35.678198"
红卫站,"104.798031,37.45081"
桃园火车站商圈,"121.313161,24.990283"
万华车站,"121.50054,25.033459"
A20平面停车场,"121.567744,25.034085"
罗东火车站,"121.774105,24.677827"
大日华江站机车停车场,"121.494007,25.035465"
桃园机场海军基地移防基地,"120.490568,22.705828"
板桥车站,"121.464086,25.013892"
机踏车收费停车场,"121.520808,25.095961"
新光医院机车停车场,"121.519817,25.096786"
巨匠电脑(台大分校),"121.532632,25.016094"
捷运回龙站停车场一,"121.41088,25.021224"
汐止车站,"121.662271,25.069369"
千甲火车站,"121.002716,24.806871"
巨匠电脑(东区认证),"121.550392,25.041746"
茂兴蹦蹦车站,"121.526306,24.477736"
第一航厦,"121.552015,25.06371"
东澳车站,"121.83096,24.518251"
武陵车站,"121.310314,24.353793"
和平车站,"121.753068,24.298279"
长安车站,"121.464497,25.07894"
浮洲火车站,"121.444535,25.004266"
佳音英语(土城清水校),"121.460266,24.981993"
景美车站,"121.61114,24.090253"
旧泰安车站,"120.749139,24.322733"
捷运昆阳站转乘停车场,"121.594485,25.050735"
巨匠电脑(内湖分校),"121.592164,25.082281"
捷运关渡站机车停车场,"121.466697,25.125257"
捷运回龙站停车场,"121.410977,25.021789"
花莲车站,"121.601608,23.992583"
宜兰运动公园停车场,"121.756163,24.73845"
台中航空站(台中机场),"120.60042,24.255262"
合兴车站,"121.154373,24.716791"
竹东车站,"121.094662,24.738178"
新生北路高架桥下停车场,"121.52762,25.055142"
苏澳新站,"121.827513,24.608212"
太平山蹦蹦车站,"121.535008,24.492807"
高铁台中站停车场P3,"120.615677,24.113044"
胜兴车站烤蛋,"120.999224,24.598997"
高铁台中站停车场P4,"120.615983,24.113837"
南投服务区(231公里),"120.711334,23.89997"
安通车站,"121.332675,23.297444"
简易直升机场,"120.219558,26.337468"
马祖北竿航空站,"120.002079,26.224905"
马祖南竿航空站,"119.955727,26.157992"
盐水火车站,"120.262823,23.322759"
初鹿火车站,"121.092889,22.860718"
嘉义航空站,"120.403902,23.454198"
关山旧火车站,"121.164699,23.046691"
拔林火车站,"120.358844,23.189866"
嘉丰火车站,"121.127677,22.881119"
槟榔火车站站房,"121.092691,22.808317"
台南火车站,"120.211173,22.999152"
台南归仁机场,"120.28358,22.987146"
台东医院机车停车场,"121.150802,22.756738"
南台南火车站,"120.217453,22.967887"
台南航空站(台南机场),"120.216249,22.948006"
台南航空站,"120.216498,22.947895"
屏东机场,"120.490568,22.705828"
多良火车站,"120.958664,22.506775"
三块厝火车站,"120.293806,22.638987"
林边火车站机车停车场,"120.515492,22.43141"
金门航空站(尚义机场),"118.368056,24.435795"
木栅休息站北上(25公里),"121.570381,24.975927"
捷运复兴岗站机车停车场,"121.486287,25.137704"
捷运红树林站机车停车场,"121.458941,25.155667"
麟山鼻游憩区机车停车场,"121.518805,25.282506"
万华车站前机车平面停车场,"121.501298,25.033838"
辅大站4号出口机车停车场,"121.436464,25.033199"
高铁桃园站旅游服务中心,"121.214884,25.013548"
湖口服务区南下(86公里),"121.009463,24.857209"
宝山休息站南下(96公里),"121.025197,24.755791"
家乐福太平店机车停车场,"120.719319,24.124973"
辽宁公园临时机车停车场一,"121.542784,25.053652"
高铁嘉义站旅游服务中心,"120.323356,23.4593"
大东海文教机构(宜兰班),"121.756797,24.755057"
台南火车站旅游服务中心,"120.212286,22.997263"
湖口服务区北上(86公里),"121.012232,24.860906"
捷运南冈山站机车停车场,"120.300576,22.781397"
大润发凤山店机车停车场,"120.355346,22.633707"
浮洲运动公园脚踏车停车场,"121.447988,25.01486"
捷运石牌站北侧机车停车场,"121.515069,25.115491"
台湾铁路管理局山佳火车站,"121.392614,24.972481"
西湖服务区北上(134公里),"120.761228,24.565179"
泰安服务区南下(158公里),"120.711898,24.330421"
家乐福德安店机车停车场,"120.68824,24.13543"
西螺服务区南下(229公里),"120.477579,23.788694"
大坪顶纳骨堂机车停车场,"120.928217,24.779772"
辽宁公园临时机车停车场二,"121.54272,25.05359"
家乐福凤山店机车停车场,"120.347757,22.628113"
